Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Image Src,Image Position,Status
iphone-18-pro-max-next-gen,IPHONE 18 PRO MAX 256GB NEXT-GEN 2026,<p>IPHONE 18 PRO MAX 256GB NEXT-GEN 2026 con garantía oficial Tecno+.</p>,Tecno+,Celulares,Celulares,"Celulares, tecno-plus",TRUE,Title,Default Title,IP18PM-256,250,shopify,5,deny,manual,5490000,6313500,TRUE,FALSE,https://images.unsplash.com/photo-1695048133142-1a20484d2569?auto=format&fit=crop&w=800&q=80,1,active
iphone-17-pro-max-256gb,IPHONE 17 PRO MAX 256GB TITANIO,<p>IPHONE 17 PRO MAX 256GB TITANIO con garantía oficial Tecno+.</p>,Tecno+,Celulares,Celulares,"Celulares, tecno-plus",TRUE,Title,Default Title,IP17PM-256,250,shopify,8,deny,manual,4990000,5738500,TRUE,FALSE,https://images.unsplash.com/photo-1695048133142-1a20484d2569?auto=format&fit=crop&w=800&q=80,1,active
iphone-16-pro-max-256gb,IPHONE 16 PRO MAX 256GB TITANIO DESIERTO,<p>IPHONE 16 PRO MAX 256GB TITANIO DESIERTO con garantía oficial Tecno+.</p>,Tecno+,Celulares,Celulares,"Celulares, tecno-plus",TRUE,Title,Default Title,IP16PM-256,250,shopify,6,deny,manual,4450000,5117500,TRUE,FALSE,https://images.unsplash.com/photo-1510557880182-3d4d3cba35a5?auto=format&fit=crop&w=800&q=80,1,active
redmi-note-15-pro-256gb,REDMI NOTE 15 PRO 256GB 12GB RAM 200MP,<p>REDMI NOTE 15 PRO 256GB 12GB RAM 200MP con garantía oficial Tecno+.</p>,Tecno+,Celulares,Celulares,"Celulares, tecno-plus",TRUE,Title,Default Title,RN15PRO-256,250,shopify,10,deny,manual,1250000,1437500,TRUE,FALSE,https://images.unsplash.com/photo-1598327105666-5b89351aff97?auto=format&fit=crop&w=800&q=80,1,active
lenovo-ideapad-slim-3-15irh10,PORTÁTIL LENOVO IDEAPAD SLIM 3 15IRH10 TÁCTIL CORE I5 16GB 512GB,<p>PORTÁTIL LENOVO IDEAPAD SLIM 3 15IRH10 TÁCTIL CORE I5 16GB 512GB con garantía oficial Tecno+.</p>,Tecno+,Cómputo y Accesorios,Cómputo y Accesorios,"Cómputo y Accesorios, tecno-plus",TRUE,Title,Default Title,83K100WKLM,250,shopify,4,deny,manual,2490000,2863500,TRUE,FALSE,https://images.unsplash.com/photo-1496181133206-80ce9b88a853?auto=format&fit=crop&w=800&q=80,1,active
samsung-galaxy-tab-s9-ultra,"SAMSUNG GALAXY TAB S9 ULTRA 14.6"" 256GB S-PEN","<p>SAMSUNG GALAXY TAB S9 ULTRA 14.6"" 256GB S-PEN con garantía oficial Tecno+.</p>",Tecno+,Cómputo y Accesorios,Cómputo y Accesorios,"Cómputo y Accesorios, tecno-plus",TRUE,Title,Default Title,GTABS9-256,250,shopify,3,deny,manual,2850000,3277500,TRUE,FALSE,https://images.unsplash.com/photo-1544244015-0df4b3ffc6b0?auto=format&fit=crop&w=800&q=80,1,active
apple-watch-ultra-2-titanium,APPLE WATCH ULTRA 2 TITANIUM 49MM,<p>APPLE WATCH ULTRA 2 TITANIUM 49MM con garantía oficial Tecno+.</p>,Tecno+,Smartwatch y Relojes,Smartwatch y Relojes,"Smartwatch y Relojes, tecno-plus",TRUE,Title,Default Title,AWU2-49TI,250,shopify,6,deny,manual,890000,1023500,TRUE,FALSE,https://images.unsplash.com/photo-1523275335684-37898b6baf30?auto=format&fit=crop&w=800&q=80,1,active
redmi-watch-5-active,SMARTWATCH REDMI WATCH 5 ACTIVE,<p>SMARTWATCH REDMI WATCH 5 ACTIVE con garantía oficial Tecno+.</p>,Tecno+,Smartwatch y Relojes,Smartwatch y Relojes,"Smartwatch y Relojes, tecno-plus",TRUE,Title,Default Title,RW5-ACTIVE,250,shopify,12,deny,manual,189900,218385,TRUE,FALSE,https://images.unsplash.com/photo-1508685096489-7aacd43bd3b1?auto=format&fit=crop&w=800&q=80,1,active
galaxy-buds-pro-inalambricos,AUDÍFONOS GALAXY BUDS PRO INALÁMBRICOS,<p>AUDÍFONOS GALAXY BUDS PRO INALÁMBRICOS con garantía oficial Tecno+.</p>,Tecno+,Audífonos y Diademas,Audífonos y Diademas,"Audífonos y Diademas, tecno-plus",TRUE,Title,Default Title,GBUDS3P,250,shopify,15,deny,manual,420000,483000,TRUE,FALSE,https://images.unsplash.com/photo-1590658268037-6bf12165a8df?auto=format&fit=crop&w=800&q=80,1,active
airpods-max-1-1,DIADEMA AIRPODS MAX 1:1 CANCELACIÓN DE RUIDO,<p>DIADEMA AIRPODS MAX 1:1 CANCELACIÓN DE RUIDO con garantía oficial Tecno+.</p>,Tecno+,Audífonos y Diademas,Audífonos y Diademas,"Audífonos y Diademas, tecno-plus",TRUE,Title,Default Title,AP-MAX-11,250,shopify,8,deny,manual,85000,97750,TRUE,FALSE,https://images.unsplash.com/photo-1505740420928-5e560c06d30e?auto=format&fit=crop&w=800&q=80,1,active
tvbox-g7-edicion-arana,TVBOX G7 EDICIÓN ARAÑA 4K ULTRA HD,<p>TVBOX G7 EDICIÓN ARAÑA 4K ULTRA HD con garantía oficial Tecno+.</p>,Tecno+,Gaming y TV Box,Gaming y TV Box,"Gaming y TV Box, tecno-plus",TRUE,Title,Default Title,TVB-G7-4K,250,shopify,14,deny,manual,180000,207000,TRUE,FALSE,https://images.unsplash.com/photo-1544652478-6653e09f18a2?auto=format&fit=crop&w=800&q=80,1,active
game-stick-pro-4k-m15,CONSOLA RETRO GAME STICK PRO 4K M15,<p>CONSOLA RETRO GAME STICK PRO 4K M15 con garantía oficial Tecno+.</p>,Tecno+,Gaming y TV Box,Gaming y TV Box,"Gaming y TV Box, tecno-plus",TRUE,Title,Default Title,GS-M15-PRO,250,shopify,9,deny,manual,180000,207000,TRUE,FALSE,https://images.unsplash.com/photo-1550745165-9bc0b252726f?auto=format&fit=crop&w=800&q=80,1,active
